departure location: 32-842 or 854-967
departure station: 44-564 or 582-955
departure platform: 35-904 or 915-970
departure track: 45-117 or 133-961
departure date: 50-697 or 714-969
departure time: 48-205 or 221-973
arrival location: 26-252 or 260-955
arrival station: 45-337 or 356-963
arrival platform: 45-507 or 520-961
arrival track: 47-225 or 236-965
class: 45-362 or 375-971
duration: 30-264 or 281-959
price: 50-397 or 414-960
route: 40-460 or 473-958
row: 49-634 or 650-957
seat: 46-537 or 554-967
train: 28-494 or 506-962
type: 43-862 or 874-964
wagon: 35-653 or 665-967
zone: 36-200 or 206-969

your ticket:
139,67,71,59,149,89,101,83,107,103,79,157,151,113,61,109,73,97,137,53

nearby tickets:
892,600,250,783,477,902,794,938,819,560,755,264,607,520,737,312,324,92,307,639
415,878,633,607,753,675,440,441,83,880,934,941,823,949,8,451,590,242,165,281
754,328,624,175,284,765,854,459,302,926,859,607,587,574,522,595,115,798,737,895
527,370,302,615,333,437,264,607,281,145,837,142,251,309,238,306,564,173,414,288
177,194,417,134,717,714,560,385,783,439,60,535,523,838,932,659,189,787,448,251
823,819,137,892,346,74,50,885,330,357,855,780,56,146,758,92,197,770,619,940
877,379,114,858,609,221,688,179,207,77,245,733,835,97,940,443,763,391,432,159
164,419,807,479,307,948,883,546,723,376,417,58,528,683,592,290,457,735,784,189
653,556,586,171,256,904,557,291,939,324,860,862,937,554,903,823,917,454,311,717
262,827,764,779,54,21,831,679,608,740,624,727,694,383,379,102,825,103,861,779
524,197,298,829,623,855,734,54,285,691,889,840,554,99,841,707,53,795,300,305
67,877,678,114,236,164,197,945,196,159,450,189,765,206,182,797,766,610,318,818
617,196,107,106,310,385,285,102,892,745,901,808,838,668,939,921,814,84,547,260
885,138,984,490,422,249,377,606,309,225,605,251,84,794,135,301,808,480,631,481
64,723,101,860,309,689,594,759,244,911,632,304,303,55,63,140,163,361,152,430
242,741,138,314,784,447,691,982,723,917,328,780,299,926,88,678,173,459,584,485
881,490,300,854,412,187,623,333,743,630,838,760,779,523,145,329,762,753,380,79
157,200,160,102,433,310,256,629,332,672,239,601,359,241,481,555,742,384,375,378
574,244,145,792,486,734,806,84,826,780,763,742,596,103,138,623,887,823,388,82
454,817,321,435,810,358,740,815,249,838,252,509,650,860,858,195,582,146,249,614
61,245,300,309,634,748,427,593,796,438,377,155,652,466,281,151,880,632,731,310
935,318,111,200,193,796,938,930,537,792,618,531,676,661,260,530,236,791,142,764
822,264,597,631,564,98,84,818,157,433,341,722,924,584,783,459,441,167,479,558
836,286,650,449,170,837,296,109,160,173,521,325,425,901,139,921,436,358,468,75
70,199,181,453,243,148,691,469,242,53,788,737,927,903,377,794,745,488,715,74
718,928,715,57,133,100,728,592,489,8,919,98,375,297,721,184,332,306,157,422
803,169,733,293,793,55,913,221,431,112,94,138,682,598,688,714,671,331,239,594
160,175,806,742,542,858,772,815,761,932,442,758,100,831,562,479,899,483,532,104
180,63,586,683,417,924,944,758,928,829,310,610,657,117,453,891,301,89,263,755
781,18,943,426,181,691,734,789,436,457,739,942,389,759,631,895,621,243,739,820
732,249,317,875,900,860,562,491,459,727,859,891,480,696,89,718,248,351,834,812
238,820,932,475,821,453,833,827,149,801,917,930,197,263,67,577,262,529,160,307
237,807,284,948,665,225,802,341,108,683,606,740,383,493,244,309,946,134,762,766
52,64,773,562,675,666,821,313,391,509,61,694,917,53,420,315,90,921,51,437
804,776,24,185,456,821,288,622,860,892,920,830,744,631,561,792,949,315,245,616
810,390,615,722,859,737,606,924,468,69,303,197,605,89,456,333,167,289,879,879
477,102,817,494,115,134,794,101,894,522,942,779,459,723,719,524,308,700,617,833
115,586,728,536,187,99,875,685,507,792,358,151,145,378,454,467,294,109,308,776
520,430,630,604,840,939,617,168,167,240,332,188,261,564,987,379,320,735,522,53
788,895,93,303,443,803,95,285,459,318,692,944,369,149,524,599,716,759,159,179
306,293,685,732,820,764,410,356,78,168,695,246,93,285,71,148,932,554,199,147
111,187,92,424,617,622,487,751,881,985,506,152,262,389,804,676,322,60,317,183
538,450,62,252,813,797,535,624,939,178,437,758,88,310,651,802,452,250,534,150
984,318,806,696,433,475,422,769,928,137,842,858,727,557,176,560,524,116,584,327
